ev_id,entities_json,hfacs_json,relationships_json,extraction_status
20000101001159I,"[{""text"": ""PEELING OFF THE TOP OF THE STAB SURFACE."", ""role"": ""Maintenance"", ""tier"": ""unsafe_skill""}]","{""unsafe_skill"": [""PEELING OFF THE TOP OF THE STAB SURFACE. - Maintenance""]}","[{""subject"": ""unsafe_skill"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""operator_physical"", ""evidence"": ""PEELING OFF THE TOP OF THE STAB SURFACE.""}]",success
20000102000169I,"[{""text"": ""Failed to Prioritize Attention"", ""role"": ""Maintenance crew"", ""tier"": ""unsafe_skill""}]","{""unsafe_skill"": [""Failed to prioritize attention""]}","[{""subject"": ""unsafe_skill"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""personnel_crm"", ""evidence"": ""DELTA MAINTENANCE INSPECTED THE AIRCRAFT AND FOUND THAT A HIGH PRESSURE LINE FROM THE LEFT ENGINE DRIVEN PUMP TO THE ENGINE PYLON WAS RUPTURED.""}]",success
20000102000949I,"[{""text"": ""Misdiagnosed Emergency"", ""role"": ""Maintenance crew"", ""tier"": ""unsafe_decision""}]","{""unsafe_decision"": [""Misdiagnosed Emergency - Maintenance crew""]}","[{""subject"": ""unsafe_decision"", ""relation"": ""LEADS_TO"", ""object"": ""unsafe_skill"", ""evidence"": ""Misdiagnosed Emergency""}]",success
20000102022139I,[],{},[],parse_error
20000102026219I,"[{""text"": ""Misdiagnosed Emergency"", ""role"": ""Pilot"", ""tier"": ""unsafe_decision""}]","{""unsafe_decision"": [""Misdiagnosed Emergency""]}","[{""subject"": ""unsafe_decision"", ""relation"": ""LEADS_TO"", ""object"": ""situational_tech"", ""evidence"": ""Pilot Misdiagnosed Emergency CO_OCCURS_WITH Maintenance performed extensive troubleshooting could not find the problem.""}]",success
20000104000559I,"[{""text"": ""Omitted Checklist Step"", ""role"": ""Pilot"", ""tier"": ""unsafe_skill""}]","{""unsafe_skill"": [""Omitted Checklist Step - Pilot""]}",[],success
20000106002589I,"[{""text"": ""Failed to Prioritize Attention"", ""role"": ""Captain"", ""tier"": ""unsafe_decision""}]","{""unsafe_decision"": [""Failed to prioritize attention""]}","[{""subject"": ""unsafe_decision"", ""relation"": ""LEADS_TO"", ""object"": ""unsafe_violation"", ""evidence"": ""THE WING WALKER RAN BACK TO GET THE ATTENTION OF THE QUIDEMAN TO SIGNAL A STOP, BY THIS TIME THE A/C WAS ENTERING A DOWN SLOPE AREA AND COULD NOT STOP. A/C CAME IN CONTACT WITH TRUCK WITH TAILCONE.""}]",success
20000111000409I,"[{""text"": ""Cracked Captain's Side Window"", ""role"": ""Captain"", ""tier"": ""unsafe_decision""}]","{""unsafe_decision"": [""Misdiagnosed Emergency: Captain""]}","[{""subject"": ""unsafe_decision"", ""relation"": ""LEADS_TO"", ""object"": ""unsafe_skill"", ""evidence"": ""Cracked Captain's Side Window""}]",success
20000111001089I,"[{""text"": ""Failed to Prioritize Attention"", ""role"": ""Pilot"", ""tier"": ""unsafe_decision""}]","{""unsafe_decision"": [""Failed to prioritize attention""]}","[{""subject"": ""unsafe_decision"", ""relation"": ""LEADS_TO"", ""object"": ""unsafe_skill"", ""evidence"": ""PILOT SHUT DOWN THE #1 ENGINE DUE TO A LOW OIL PRESSURE INDICATION""}]",success
20000112001079I,"[{""text"": ""Failed to Prioritize Attention"", ""role"": ""Company Mechanic Frank Klawitter"", ""tier"": ""unsafe_skill""}]","{""unsafe_skill"": [""Failed to prioritize attention""]}",[],success
