ev_id,entities_json,hfacs_json,relationships_json,extraction_status
20081201X44308,"[{""text"": ""The flight crew reported that they had some questions about the applicability of the U ENG RESPONSE checklist to their situation because they were more than 3 hours from the top of the descent and had not yet performed the Cold Fuel Operations procedure, nor had they recently operated either engine at a high thrust setting."", ""role"": ""Flight Crew"", ""tier"": ""unsafe_decision""}]","{""unsafe_decision"": [""The flight crew reported that they had some questions about the applicability of the U ENG RESPONSE checklist to their situation because they were more than 3 hours from the top of the descent and had not yet performed the Cold Fuel Operations procedure, nor had they recently operated either engine at a high thrust setting.""]}","[{""subject"": ""unsafe_decision"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""operator_limits"", ""evidence"": ""The flight crew reported that they had some questions about the applicability of the U ENG RESPONSE checklist to their situation because they were more than 3 hours from the top of the descent and had not yet performed the Cold Fuel Operations procedure, nor had they recently operated either engine at a high thrust setting.""}]",success
20221219106472,"[{""text"": ""the flight crew stated that the plume was \u201cmoving fast\u201d and \u201cbuilding fast\u201d but that the airplane should \u201cclear most of it.\u201d"", ""role"": ""Flight crew"", ""tier"": ""unsafe_decision""}]","{""unsafe_decision"": [""the flight crew stated that the plume was \u201cmoving fast\u201d and \u201cbuilding fast\u201d but that the airplane should \u201cclear most of it.\u201d""]}","[{""subject"": ""unsafe_decision"", ""relation"": ""LEADS_TO"", ""object"": ""unsafe_perception"", ""evidence"": ""the flight crew stated that the plume was \u201cmoving fast\u201d and \u201cbuilding fast\u201d but that the airplane should \u201cclear most of it.\u201d""}]",success
20220927106004,"[{""text"": ""uncommanded and oscillatory movement of the trim wheel"", ""role"": ""flight crew"", ""tier"": ""unsafe_skill""}]","{""unsafe_skill"": [""uncommanded and oscillatory movement of the trim wheel""]}","[{""subject"": ""unsafe_skill"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""operator_physical"", ""evidence"": ""uncommanded and oscillatory movement of the trim wheel""}]",success
20231005193196,"[{""text"": ""The flight crew made the decision to return to CHA."", ""role"": ""Crew"", ""tier"": ""unsafe_decision""}, {""text"": ""Postaccident electrical system inspections of the alternate extension system found no electrical continuity between the alternate gear extend switch and the alternate extension power pack (AEPP). A visual examination of the alternate extension system wiring revealed a break (open) in a wire between the circuit breaker and the alternate gear extend switch."", ""role"": ""Maintenance"", ""tier"": ""unsafe_violation""}]","{""unsafe_decision"": [""The flight crew made the decision to return to CHA.""], ""unsafe_violation"": [""Postaccident electrical system inspections of the alternate extension system found no electrical continuity between the alternate gear extend switch and the alternate extension power pack (AEPP). A visual examination of the alternate extension system wiring revealed a break (open) in a wire between the circuit breaker and the alternate gear extend switch.""]}","[{""subject"": ""unsafe_decision"", ""relation"": ""LEADS_TO"", ""object"": ""unsafe_violation"", ""evidence"": ""The flight crew's decision to return to CHA led to the postaccident electrical system inspections revealing a break in the wire between the alternate gear extend switch and the AEPP.""}]",success
20231201193459,"[{""text"": ""Omitted Checklist Step"", ""role"": ""Captain"", ""tier"": ""unsafe_skill""}, {""text"": ""Failed to Prioritize Attention"", ""role"": ""Captain and First Officer"", ""tier"": ""unsafe_skill""}]","{""unsafe_skill"": [""Omitted Checklist Step - Captain"", ""Failed to Prioritize Attention - Captain and First Officer""]}",[],success
20240211193772,"[{""text"": ""the flexible hydraulic hoses connected to the number 3 (right inboard) and number 4 (right outboard) MLG brakes had been improperly reconnected following the carbon brake and flow limiter installation"", ""role"": ""Maintenance personnel"", ""tier"": ""unsafe_skill""}, {""text"": ""the wiring harness within the MLG axle had been installed incorrectly. Specifically, the electrical connectors for the number 1 (left outboard) and number 2 (left inboard) wheel speed transducers were swapped"", ""role"": ""Maintenance personnel"", ""tier"": ""unsafe_skill""}]","{""unsafe_skill"": [""the flexible hydraulic hoses connected to the number 3 (right inboard) and number 4 (right outboard) MLG brakes had been improperly reconnected following the carbon brake and flow limiter installation (Maintenance personnel)"", ""the wiring harness within the MLG axle had been installed incorrectly. Specifically, the electrical connectors for the number 1 (left outboard) and number 2 (left inboard) wheel speed transducers were swapped (Maintenance personnel)""]}","[{""subject"": ""unsafe_skill"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""unsafe_decision"", ""evidence"": ""Maintenance personnel improperly reconnected flexible hydraulic hoses and swapped wheel speed transducer wires, leading to a loss of braking effectiveness.""}, {""subject"": ""unsafe_skill"", ""relation"": ""LEADS_TO"", ""object"": ""unsafe_violation"", ""evidence"": ""Improperly reconnecting the flexible hydraulic hoses and swapping the wheel speed transducer wires resulted in a violation of proper maintenance procedures.""}]",success
20240212193784,"[{""text"": ""ATC did not provide any real-time weather advisories during the period the airplane was under Boston Center\u2019s control, despite receiving a moderate turbulence report from ACA548 (an uninvolved airplane) about three minutes prior to the encounter."", ""role"": ""ATC"", ""tier"": ""unsafe_decision""}]","{""unsafe_decision"": [""ATC did not provide any real-time weather advisories during the period the airplane was under Boston Center\u2019s control, despite receiving a moderate turbulence report from ACA548 (an uninvolved airplane) about three minutes prior to the encounter.""]}","[{""subject"": ""unsafe_decision"", ""relation"": ""LEADS_TO"", ""object"": ""situational_tech"", ""evidence"": ""ATC did not provide any real-time weather advisories during the period the airplane was under Boston Center\u2019s control, despite receiving a moderate turbulence report from ACA548 (an uninvolved airplane) about three minutes prior to the encounter.""}]",success
20210702103407,"[{""text"": ""misidentification of the damaged engine"", ""role"": ""Flight crew"", ""tier"": ""unsafe_skill""}, {""text"": ""use of only the damaged engine for thrust during the remainder of the flight"", ""role"": ""Flight crew"", ""tier"": ""unsafe_skill""}, {""text"": ""ineffective crew resource management"", ""role"": ""Flight crew"", ""tier"": ""unsafe_decision""}, {""text"": ""high workload and stress"", ""role"": ""Flight crew"", ""tier"": ""unsafe_perception""}]","{""unsafe_skill"": [""misidentification of the damaged engine (Flight crew)"", ""use of only the damaged engine for thrust during the remainder of the flight (Flight crew)""], ""unsafe_decision"": [""inappropriate procedure (Flight crew)""]}","[{""subject"": ""unsafe_skill"", ""relation"": ""LEADS_TO"", ""object"": ""unsafe_decision"", ""evidence"": ""The flight crew's misidentification of the damaged engine led to an unsafe decision to use only the damaged engine for thrust.""}, {""subject"": ""unsafe_decision"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""unsafe_perception"", ""evidence"": ""Both ineffective crew resource management and high workload/stress occurred simultaneously, contributing to poor decision-making.""}]",success
20210220102652,"[{""text"": ""Inadequate inspection of the fan blades"", ""role"": ""Maintenance"", ""tier"": ""unsafe_decision""}]","{""unsafe_decision"": [""'Inadequate inspection of the fan blades' - Maintenance""]}","[{""subject"": ""unsafe_decision"", ""relation"": ""LEADS_TO"", ""object"": ""situational_tech"", ""evidence"": ""The inadequate inspection of the fan blades led to undetected low-level crack indications, which in turn contributed to the severity of the engine damage following the fan blade failure.""}, {""subject"": ""unsafe_decision"", ""relation"": ""LEADS_TO"", ""object"": ""unsafe_violation"", ""evidence"": ""The insufficient frequency of inspection intervals resulted in low-level crack indications propagating undetected, leading to a violation of safety standards during the flight.""}, {""subject"": ""situational_tech"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""unsafe_violation"", ""evidence"": ""The design and testing of the engine inlet, which failed to ensure adequate energy dissipation, co-occurred with the inadequate inspection practices leading to a violation of safety protocols.""}]",success
20200219X42743,"[{""text"": ""Spirit Airlines maintenance had performed troubleshooting on the airplane after each of the previous loss of electrical power events, they were unable to determine any faults with the electrical system, including the IDGs."", ""role"": ""Maintenance"", ""tier"": ""unsafe_decision""}]","{""unsafe_decision"": [""Misdiagnosed Emergency (Spirit Airlines maintenance)""]}","[{""subject"": ""unsafe_decision"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""operator_physical"", ""evidence"": ""Spirit Airlines maintenance performed troubleshooting but were unable to determine any faults, indicating a decision based on limited information.""}, {""subject"": ""unsafe_decision"", ""relation"": ""LEADS_TO"", ""object"": ""unsafe_violation"", ""evidence"": ""Due to the inability to identify faults, Spirit Airlines maintenance did not contact Airbus for assistance, leading to no replacement of potentially faulty IDGs.""}]",success
