ev_id,entities_json,hfacs_json,relationships_json,extraction_status
20080118X00073,[],"{""operator_mental"": [""Loss of Situational Awareness (Tug Operator)"", ""Channelized Attention (Ground Controller)""], ""personnel_crm"": [""Failed to Communicate (ATC Ground Controller)"", ""Failed to Coordinate (UAL Maintenance Crew)""], ""unsafe_skill"": [""UAL tug operator: 'looking over his shoulder and didn't see the other aircraft pushback from Gate 79' (Breakdown in Visual Scan)""], ""unsafe_decision"": [""Ground controller: 'believed there was room for both aircraft to push back and did not foresee a traffic conflict' (Poor Decision)"", ""UAL tug operator: 'pushing the 757-222 back from gate 80 without the use of wing-walkers or tail walkers' (Improper Procedure)""]}","[{""subject"": ""unsafe_decision"", ""relation"": ""LEADS_TO"", ""object"": ""unsafe_perception"", ""evidence"": ""The ground controller believed there was room for both aircraft to push back and did not foresee a traffic conflict.""}, {""subject"": ""unsafe_violation"", ""relation"": ""LEADS_TO"", ""object"": ""unsafe_perception"", ""evidence"": ""The company's pushback operation without the use of wing/tail walkers... did not see the CL-600-2C10.""}, {""subject"": ""unsafe_decision"", ""relation"": ""LEADS_TO"", ""object"": ""unsafe_violation"", ""evidence"": ""The ground controller's failure to alert the pilot... of the simultaneous pushback occurring from adjacent gates.""}]",success
20080125X00103,"[{""text"": ""Contract maintenance personnel"", ""role"": ""Maintenance crew"", ""tier"": ""unsafe_decision""}]","{""operator_mental"": [""Distraction (Maintenance personnel)"", ""Complacency (Maintenance personnel)""], ""personnel_crm"": [""Failed to Coordinate (Maintenance personnel)""], ""unsafe_decision"": [""Contract maintenance personnel reported they changed the N1 sensor... They reported they then shut the fan cowling, but did not latch it as they still needed to perform an engine run and check for leaks. ... Neither mechanic returned to the accident airplane to either latch or verify that the fan cowling was latched.""]}","[{""subject"": ""unsafe_decision"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""personnel_readiness"", ""evidence"": ""A factor associated with the accident was their attention was divereted from the task when another mechanic asked for assistance.""}]",success
20080212X00178,[],"{""situational_tech"": [""Equipment Design (windshield heat terminal block connection design prone to arcing/loose connections)""], ""unsafe_violation"": [""Boeing Service Bulletin 757-30-0019 calling for inspection of the lower, aft terminal block for a loose connection had not been performed on the windshield at the time of the incident - Maintenance""]}",[],success
20080220X00214,[],"{""operator_mental"": [""Complacency (Captain)"", ""Loss of Situational Awareness (Flight Attendant)""], ""personnel_crm"": [""Failed to Coordinate (Captain and Flight Attendant)""], ""unsafe_decision"": [""The flight was descending from 14,000 feet to 13,000 feet when it encountered severe turbulence... The FASTEN SEATBELTS sign was reportedly illuminated. (Captain/First Officer)""]}",[],success
20080304X00260,[],"{""operator_mental"": [""Loss of Situational Awareness - Flight Attendant""], ""situational_tech"": [""Equipment Design/Contamination - Cabin Crew (Maintenance/Ground)""], ""unsafe_skill"": [""Flight attendant slipped and fell on glycol-contaminated floor""]}",[],success
20080228X00243,[],"{""operator_mental"": [""Loss of Situational Awareness (Captain/First Officer)""], ""unsafe_decision"": [""The airport representative stated they 'do not have an FAA approved Wildlife Management Plan' despite the presence of wildlife (Black Vulture) in the flight pattern, indicating a failure to implement required safety protocols/assessments.""]}",[],success
20081124X34243,[],"{""operator_mental"": [""Loss of Situational Awareness - Pilot in Command (Embraer E170)"", ""Haste - Pilot in Command (Embraer E170)""], ""personnel_crm"": [""Failed to Coordinate - Pilot in Command (Embraer E170) and ATC""], ""unsafe_perception"": [""Misjudged Distance/Altitude/Airspeed - Pilot of Embraer E170 (stated 'it looked like he could clear it and then felt the impact')""]}",[],success
20080305X00267,[],"{""situational_tech"": [""Equipment Design (D-ring seat attachment failure mode) - Operator/Maintenance""], ""personnel_readiness"": [""Inadequate Preparation/Compliance with Advisory Bulletins (SAIB NM-04-37 non-compliance) - Operator Management""], ""unsafe_violation"": [""failure of the operator to comply with the SAIB""]}",[],success
20080312X00305,[],"{""operator_mental"": [""Complacency (Maintenance mechanic)"", ""Haste (Maintenance mechanic)""], ""personnel_readiness"": [""Inadequate Training/Preparation (Maintenance mechanic)""], ""unsafe_skill"": [""The mechanic who installed all four tachometers had never installed one before... He indicated he had no issues with the installation (Maintenance Mechanic)"", ""maintenance personnel noted that the functional spin up test for the tachometers was complex and could be confusing at times. ... maintenance personnel indicated no discrepancies when tested (Maintenance Personnel)""]}","[{""subject"": ""unsafe_decision"", ""relation"": ""LEADS_TO"", ""object"": ""unsafe_skill"", ""evidence"": ""The mechanic who installed all four tachometers had never installed one before... The Maintenance Manual and task cards were not clear when specifying the correct position for the MLG wheel tachometers installation.""}, {""subject"": ""unsafe_skill"", ""relation"": ""LEADS_TO"", ""object"": ""situational_tech"", ""evidence"": ""the inboard (IB) and outboard (OB) tachometer wires on the left main landing gear (LMLG) were found to be cross connected.""}, {""subject"": ""situational_tech"", ""relation"": ""LEADS_TO"", ""object"": ""unsafe_perception"", ""evidence"": ""the BSCU would have commanded a reduction in the hydraulic pressure to the OB brake... causing a loss of braking on the OB wheel.""}]",success
20080413X00464,[],"{""personnel_crm"": [""Failed to Coordinate (Flight Attendants)""], ""unsafe_decision"": [""Pilot continued approach at 30,000 feet in IMC/Night conditions without diverting or descending to avoid unexpected turbulence""]}",[],success
20080307X00283,[],"{""operator_mental"": [""Loss of Situational Awareness - Pilot in Command (SWA411)"", ""Complacency - Pilot in Command (SWA411)""], ""personnel_crm"": [""Failure to Coordinate - First Officer (SWA411) and Pilot in Command (SWA411)"", ""Failed to Back-up - First Officer (SWA411)""], ""unsafe_perception"": [""The captain of SWA411 later stated that it appeared to him that they could safely pass SWA15 on their left. The first officer of SWA411 said he asked the captain about wing clearance as they approached SWA15 and the captain looked over his left shoulder and said they had enough room.""]}","[{""subject"": ""unsafe_perception"", ""relation"": ""LEADS_TO"", ""object"": ""unsafe_decision"", ""evidence"": ""The captain of SWA411 later stated that it appeared to him that they could safely pass SWA15 on their left... the first officer of SWA411 said he asked the captain about wing clearance as they approached SWA15 and the captain looked over his left shoulder and said they had enough room.""}, {""subject"": ""unsafe_decision"", ""relation"": ""LEADS_TO"", ""object"": ""unsafe_skill"", ""evidence"": ""The failure of the taxiing flight crew to maintain an adequate clearance from the stationary airplane... the left winglet of SWA411 collided with the left horizontal stabilizer of SWA15.""}]",success
20080509X00640,[],"{""situational_tech"": [""Ambiguous Service Bulletin instructions and figures regarding clip orientation (Manufacturer)""], ""unsafe_skill"": [""Maintenance personnel installed the clips on the incorrect side of the vertical stiffener and omitted required spacers, constituting a breakdown in proper installation technique.""]}",[],success
20080331X00404,"[{""text"": ""Flight crew"", ""role"": ""Pilot in Command / First Officer"", ""tier"": ""unsafe_skill""}, {""text"": ""Flight crew"", ""role"": ""Pilot in Command / First Officer"", ""tier"": ""unsafe_decision""}]","{""operator_mental"": [""Distraction (Captain)"", ""Complacency (First Officer)""], ""personnel_crm"": [""Failed to Coordinate (Flight Crew)"", ""Failure of Leadership (Captain)""], ""unsafe_skill"": [""Omitted Checklist Step - Flight crew (Captain and First Officer) failed to verify the cargo door annunciator light as required by SOPs, evidenced by 'they most likely did not see that the light was illuminated prior to departure' and 'checklist items were interspersed with the personal comments'""], ""unsafe_decision"": [""Improper Procedure - Flight crew (Captain and First Officer) engaged in non-essential conversations during a critical phase of flight, evidenced by 'The flight crew spoke of personal matters and did not follow the sterile cockpit regulations' and 'lack of professionalism and deviation from standard operating procedures'""]}","[{""subject"": ""unsafe_decision"", ""relation"": ""LEADS_TO"", ""object"": ""unsafe_perception"", ""evidence"": ""Due to the flight crew's lack of professionalism and deviation from standard operating procedures, they most likely did not see that the light was illuminated prior to departure.""}, {""subject"": ""unsafe_decision"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""unsafe_skill"", ""evidence"": ""The flight crew spoke of personal matters and did not follow the sterile cockpit regulations... The flight crew's unprofessional behavior and deviation from standard operating procedures which resulted in an in-flight emergency.""}]",success
20080404X00426,[],"{""operator_mental"": [""Loss of Situational Awareness - Flight Crew"", ""Complacency - Flight Crew""], ""personnel_crm"": [""Failed to Coordinate - Flight Crew"", ""Failure of Leadership - Captain""], ""unsafe_decision"": [""Flight crew - C: The flight crew's improper landing technique for an inoperative anti-skid system resulting in locked brakes and four blown main landing gear tires."", ""Flight crew - C: FDR data revealed that the speed brakes were not extended and the thrust reversers were not used for this landing, contrary to the briefed procedures.""]}","[{""subject"": ""unsafe_decision"", ""relation"": ""LEADS_TO"", ""object"": ""unsafe_skill"", ""evidence"": ""The flight crew's improper landing technique for an inoperative anti-skid system resulting in locked brakes and four blown main landing gear tires.""}, {""subject"": ""unsafe_decision"", ""relation"": ""LEADS_TO"", ""object"": ""unsafe_violation"", ""evidence"": ""The flight data recorder data depicted no deployment of the speed brakes, no use of the thrust reversers, and an increase in brake pressure at the same time weight was transferred to the nose gear, consistent with brake application upon landing.""}]",success
20080722X01094,[],"{""operator_mental"": [""Complacency (Captain)""], ""personnel_crm"": [""Failed to Coordinate (Captain)""], ""unsafe_decision"": [""Pilot asked flight attendants to prepare the cabin earlier than usual due to weather, but turbulence occurred only 10 minutes later while they were still in the aft galley, indicating a poor decision regarding timing and safety of crew movement""]}",[],success
20081003X63355,[],"{""situational_tech"": [""Inadequate maintenance inspection and test requirements for fuel/hydraulic hoses (Manufacturer/Operator Policy)"", ""Lack of life limit or required pressure test intervals for critical engine lines (Manufacturer/Operator Policy)""], ""unsafe_decision"": [""Maintenance personnel/Manufacturer: 'The fire sleeve had been replaced at sometime during the life of the hoses and the fire sleeve was not the same type as used by Eaton during initial manufacture.' (Improper Procedure / Poor Decision)""]}",[],success
20081219X16532,[],"{""operator_mental"": [""Complacency (Maintenance personnel)""], ""personnel_readiness"": [""Inadequate Preparation/Procedure Adherence (Maintenance personnel)""], ""unsafe_skill"": [""Maintenance personnel used a chemical cleaning solution that caused hydrogen embrittlement, leading to intergranular cracking (Poor Technique)""]}",[],success
20081003X16303,[],"{""operator_mental"": [""Complacency (Pilot)"", ""Loss of Situational Awareness (Pilot)""], ""personnel_crm"": [""Failed to Communicate (Crew)""], ""unsafe_decision"": [""The flight crew failed to prepare for the encounter with turbulence by keeping the seat belt sign on, as evidenced by 'The seat belt sign was off at the time and an unbelted passenger received a serious injury' (Pilot/Flight Crew)""]}",[],success
20080723X01111,[],"{""operator_mental"": [""Complacency (Captain)"", ""Loss of Situational Awareness (Lead Flight Attendant)""], ""personnel_crm"": [""Failed to Coordinate (Crew)""], ""unsafe_decision"": [""Captain: 'seatbelt sign had been off' despite 'thunderstorm activity in the area' and 'towering cumulus clouds', leading to unsecured cabin crew during turbulence""]}",[],success
